iter	Passed	Remaining
0	9	1795
1	16	1675
2	24	1576
3	30	1486
4	35	1390
5	41	1341
6	47	1306
7	52	1262
8	58	1240
9	63	1202
10	68	1177
11	73	1155
12	80	1157
13	86	1154
14	93	1154
15	99	1147
16	105	1134
17	110	1121
18	116	1109
19	122	1099
20	127	1087
21	134	1086
22	139	1072
23	145	1064
24	150	1051
25	155	1041
26	161	1033
27	166	1023
28	172	1017
29	178	1011
30	184	1005
31	190	999
32	196	992
33	201	985
34	207	977
35	213	973
36	219	965
37	225	959
38	232	957
39	238	952
40	244	947
41	250	943
42	256	936
43	262	931
44	269	928
45	275	921
46	281	916
47	287	909
48	293	903
49	298	895
50	304	888
51	309	882
52	315	875
53	322	871
54	327	863
55	333	856
56	338	850
57	344	843
58	349	835
59	354	827
60	360	821
61	366	816
62	373	811
63	379	806
64	385	800
65	391	794
66	396	787
67	404	784
68	410	779
69	416	772
70	422	768
71	428	761
72	433	754
73	438	746
74	443	739
75	450	734
76	455	727
77	461	721
78	466	713
79	472	708
80	478	702
81	484	696
82	490	691
83	496	685
84	503	681
85	509	676
86	517	672
87	523	666
88	530	661
89	536	655
90	543	650
91	549	644
92	556	639
93	562	634
94	569	629
95	576	624
96	583	619
97	589	613
98	595	607
99	602	602
100	609	596
101	615	591
102	622	586
103	629	580
104	635	575
105	641	569
106	647	562
107	653	556
108	659	550
109	665	544
110	670	537
111	675	530
112	681	524
113	686	518
114	691	511
115	697	505
116	703	498
117	708	492
118	714	486
119	721	480
120	727	474
121	733	468
122	740	463
123	745	456
124	751	450
125	756	444
126	762	438
127	768	432
128	775	426
129	781	421
130	788	415
131	794	409
132	801	403
133	807	397
134	813	391
135	821	386
136	826	380
137	833	374
138	840	368
139	846	362
140	853	357
141	859	351
142	867	345
143	874	340
144	881	334
145	889	329
146	896	323
147	902	317
148	910	311
149	917	305
150	924	299
151	930	293
152	939	288
153	947	282
154	954	277
155	960	270
156	967	264
157	974	258
158	981	253
159	988	247
160	996	241
161	1005	235
162	1012	229
163	1020	224
164	1032	219
165	1042	213
166	1049	207
167	1057	201
168	1064	195
169	1071	189
170	1080	183
171	1088	177
172	1097	171
173	1105	165
174	1112	158
175	1120	152
176	1134	147
177	1143	141
178	1151	135
179	1157	128
180	1165	122
181	1173	116
182	1183	109
183	1190	103
184	1196	97
185	1204	90
186	1211	84
187	1217	77
188	1225	71
189	1231	64
190	1237	58
191	1243	51
192	1251	45
193	1259	38
194	1267	32
195	1274	26
196	1281	19
197	1287	13
198	1294	6
199	1302	0
